Anime_ID,Title,Genres,Type,Episodes,Producers,Studios,Score
4667,B-Legend! Battle B-Daman Fire Spirits!,"Adventure, Fantasy, Game, Kids",TV,51,"Heewon Entertainment, Yomiuri Advertising",Unknown,6.37
4672,Koukaku Kidoutai 2.0,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen",Movie,1,Unknown,Production I.G,8.01
4675,Detective File 1: Kindan no Ai,Hentai,OVA,1,Green Bunny,Unknown,5.01
4680,Bocchan,Historical,Special,1,Unknown,TMS Entertainment,6.17
4681,Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,"Sci-Fi, Kids",Movie,1,"Shochiku, Sony Music Entertainment",Triangle Staff,6.12
4682,Ultra Nyan 2: The Great Happy Operation,"Comedy, Kids",Movie,1,Shochiku,Unknown,6.04
4684,Scarecrowman,"Fantasy, Kids",TV,26,VAP,TMS Entertainment,Unknown
4685,Takane no Jitensha,"Fantasy, School",Special,1,Imagine,A-1 Pictures,6.04
4688,Minna Agechau♡,"Comedy, Ecchi, Romance",OVA,1,"Movic, Shueisha",J.C.Staff,5.83
4689,Kaze no Toori Michi,"Music, Kids",Music,1,Unknown,"Studio Ghibli, Ajia-Do",6.01
4690,Cyborg 009 (1979),"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,50,Unknown,Toei Animation,7.17
4692,Tragic Silence: Shoujo Yugi,Hentai,OVA,1,Unknown,Unknown,5.37
4693,Dochinpira,"Action, Comedy, Hentai",OVA,1,Studio Kikan,Unknown,5.14
4697,Chimera: Target I Datenshi Kourin,"Hentai, Drama",OVA,1,Tohokushinsha Film Corporation,Studio Sign,5.24
4698,Jokei Kazoku: Inbou,Hentai,OVA,2,T-Rex,Unknown,6.55
4699,Eisai Kyoiku,"Hentai, School",OVA,1,Jam,Unknown,5.25
4700,Visionary,Hentai,OVA,5,"Knack Productions, BEAM Entertainment",Unknown,5.24
4701,Yama Hime no Mi,Hentai,OVA,3,Schoolzone,Unknown,6.17
4703,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,"Fantasy, Kids, Magic, Romance, Shoujo, Super Power",Movie,1,Unknown,Toei Animation,7.22
4705,Tengen Toppa Gurren Lagann: Parallel Works,Music,Music,8,Aniplex,Gainax,7.13
4709,Aesop's World,Kids,TV,26,Unknown,Sunrise,5.82
4712,Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural",Special,1,Unknown,Toei Animation,6.59
4713,Heart no Kuni no Alice: Wonderful Wonder World,"Fantasy, Harem, Romance, Shoujo",Movie,1,Unknown,Asahi Production,6.08
4714,The Rapeman,Hentai,OVA,2,Pink Pineapple,Unknown,6.37
4715,Shigofumi: Sore kara,"Drama, Fantasy, Psychological, Thriller",Special,1,"Bandai Visual, Genco, Lantis, Rakuonsha",J.C.Staff,7.36
4717,Chijoku Kankin,Hentai,OVA,1,Pink Pineapple,Unknown,5.59
